,code,feature
339,A000000145845,복합성 웜톤 모공 민감성 트러블 홍조 각질 
340,A000000146263,건성 쿨톤 미백 탄력 민감성 트러블 주름 
341,A000000146315,복합성 웜톤 트러블 모공 잡티 블랙헤드 민감성 
342,A000000123149,복합성 웜톤 트러블 민감성 미백 블랙헤드 모공 
343,A000000145833,복합성 웜톤 트러블 모공 잡티 블랙헤드 민감성 
344,A000000146806,건성 웜톤 잡티 블랙헤드 탄력 트러블 주름 
345,A000000123148,복합성 웜톤 트러블 민감성 잡티 모공 홍조 
346,A000000147337,복합성 웜톤 트러블 민감성 모공 잡티 블랙헤드 
347,A000000145503,복합성 웜톤 잡티 민감성 트러블 모공 미백 
348,A000000144124,지성 웜톤 모공 각질 블랙헤드 피지과다 미백 
349,A000000144534,복합성 웜톤 모공 민감성 트러블 각질 주름 
350,A000000144540,복합성 쿨톤 각질 모공 미백 
351,A000000144551,복합성 웜톤 모공 트러블 잡티 블랙헤드 각질 
352,A000000124111,지성 쿨톤 민감성 모공 잡티 트러블 피지과다 
353,A000000145566,복합성 웜톤 모공 트러블 민감성 블랙헤드 잡티 
354,A000000124070,건성 웜톤 모공 잡티 탄력 블랙헤드 민감성 
355,A000000144914,복합성 웜톤 각질 홍조 주름 미백 잡티 
356,A000000144917,복합성 웜톤 모공 트러블 탄력 블랙헤드 잡티 
357,A000000145276,복합성 웜톤 미백 주름 탄력 트러블 민감성 
358,A000000145277,지성 웜톤 트러블 모공 피지과다 잡티 홍조 
359,A000000123588,복합성 웜톤 모공 민감성 트러블 블랙헤드 잡티 
360,A000000149231,건성 웜톤 잡티 주름 
361,A000000122661,복합성 웜톤 탄력 모공 잡티 미백 주름 
362,A000000148391,복합성 쿨톤 트러블 모공 블랙헤드 민감성 잡티 
363,A000000148416,복합성 웜톤 모공 잡티 블랙헤드 트러블 미백 
364,A000000148417,건성 웜톤 트러블 모공 블랙헤드 각질 잡티 
365,A000000121124,복합성 웜톤 트러블 블랙헤드 잡티 모공 각질 
366,A000000148729,복합성 웜톤 민감성 트러블 모공 잡티 탄력 
